StudyHours,Attendance,InternalMarks,PreviousScore,TotalMarks,Result
7.84,95.54,18.4,28.25,126.98,1
2.39,86.52,13.06,29.99,83.53,1
0.55,74.49,19.39,45.82,85.09,1
8.25,51.26,23.82,78.54,145.0,1
7.22,98.81,25.99,52.71,148.18,1
7.43,49.19,19.87,42.51,115.32,1
7.83,44.19,13.3,59.28,114.25,1
1.2,60.95,18.29,38.24,78.14,1
3.91,33.98,25.73,48.08,99.69,1
1.6,98.49,18.26,43.28,98.03,1
8.7,71.19,23.93,76.29,154.72,1
6.42,68.99,20.14,84.7,138.68,1
3.64,75.91,14.82,73.17,111.02,1
1.1,64.79,25.92,50.74,96.77,1
3.45,32.24,11.68,55.3,78.77,1
3.59,72.86,20.5,28.76,95.81,1
7.43,80.13,14.18,72.28,134.04,1
6.56,59.17,11.34,61.75,110.91,1
8.93,83.01,20.06,83.17,158.46,1
4.99,45.89,19.99,34.04,95.3,1
1.64,45.49,24.14,73.18,100.84,1
7.28,41.3,24.9,67.93,131.51,1
7.73,56.04,24.56,38.61,124.94,1
5.83,89.29,18.19,66.72,131.34,1
7.82,87.95,22.63,84.71,158.4,1
5.19,56.8,21.54,84.29,128.32,1
5.47,71.24,18.43,70.37,124.15,1
4.56,80.46,21.94,23.37,104.14,1
0.74,46.88,28.94,81.06,107.13,1
1.52,41.77,13.86,66.04,79.64,1
0.8,98.05,28.12,41.73,107.06,1
6.55,73.23,11.07,33.11,101.75,1
3.49,98.7,16.17,28.13,98.74,1
5.33,53.64,15.76,23.52,88.84,1
9.12,79.21,22.53,72.79,156.59,1
2.87,45.58,12.62,36.51,72.64,1
4.4,48.28,27.65,21.7,98.04,1
7.68,65.83,26.57,47.81,136.17,1
2.67,52.37,23.04,53.78,98.42,1
1.23,41.73,19.17,31.85,68.75,1
3.25,48.4,28.66,23.08,93.39,1
2.03,32.5,26.61,33.24,81.72,1
9.33,79.31,19.99,67.54,151.46,1
8.18,64.45,24.04,25.76,123.8,1
6.52,36.6,21.34,58.85,115.2,1
8.78,42.02,21.76,30.25,117.25,1
8.13,37.18,16.62,33.7,105.43,1
2.27,72.88,19.24,47.52,95.39,1
8.98,36.59,11.56,27.06,99.39,1
5.62,82.8,17.15,32.12,108.62,1
8.17,31.44,23.92,44.43,119.69,1
9.01,47.46,29.06,43.08,138.17,1
3.52,92.35,29.26,72.45,138.18,1
1.55,80.3,21.11,25.23,85.7,1
2.67,35.11,22.13,80.23,103.37,1
4.56,87.48,13.71,77.14,121.49,1
8.27,64.51,23.91,73.62,148.1,1
8.68,89.27,11.41,41.66,125.73,1
0.57,72.05,15.69,77.6,94.58,1
5.35,77.73,23.37,32.8,114.65,1
4.47,99.55,16.21,28.71,105.31,1
2.61,46.26,11.0,23.15,62.24,1
1.64,73.68,26.64,85.75,122.15,1
3.71,62.22,16.21,41.56,92.24,1
9.46,32.76,11.26,84.23,128.87,1
3.57,31.01,11.5,39.08,70.61,1
5.43,38.35,15.04,83.53,112.24,1
7.18,75.44,13.56,83.28,135.24,1
3.95,69.7,25.49,84.66,132.14,1
9.73,68.74,16.43,54.73,137.89,1
9.64,32.23,26.09,80.62,150.18,1
2.89,62.85,13.48,86.55,105.98,1
5.22,94.72,19.86,42.72,120.36,1
3.36,57.83,23.76,49.32,103.59,1
3.21,73.74,23.04,70.35,118.49,1
0.85,84.59,22.02,41.03,92.48,1
6.29,84.87,28.5,72.77,150.82,1
5.28,66.35,14.57,25.17,92.66,1
0.99,90.06,19.87,56.64,100.09,1
3.15,57.4,27.68,28.56,97.66,1
9.13,92.21,11.56,40.53,129.27,1
2.78,46.82,11.12,38.1,71.14,1
1.88,49.62,14.67,78.73,92.5,1
5.15,33.72,22.66,33.55,95.15,1
9.86,85.69,15.2,76.59,154.53,1
2.8,59.19,13.8,75.58,98.97,1
6.89,46.04,19.18,54.92,115.99,1
7.74,46.23,22.27,36.37,116.52,1
2.76,93.1,14.97,35.88,94.2,1
7.42,88.37,16.01,52.54,130.15,1
3.99,68.75,22.27,20.62,95.16,1
6.51,73.13,28.91,57.19,140.27,1
6.52,63.2,23.49,86.69,142.98,1
5.59,57.42,25.66,30.83,110.41,1
1.36,94.08,17.34,60.13,101.87,1
8.44,38.79,15.45,87.32,132.99,1
3.55,59.29,19.09,80.24,113.77,1
2.27,54.12,26.14,79.53,114.24,1
0.89,64.87,19.13,77.53,98.75,1
6.11,62.03,26.93,41.63,122.68,1
6.94,66.32,29.78,82.34,154.01,1
0.66,39.79,11.44,85.89,79.98,1
5.36,65.92,10.91,54.71,102.25,1
2.65,46.97,12.99,44.82,76.58,1
6.63,42.9,17.69,49.0,107.98,1
2.16,34.54,12.62,43.39,67.4,1
7.06,83.39,27.41,34.87,134.27,1
4.17,59.92,10.46,63.29,96.32,1
9.4,73.87,16.32,59.38,140.12,1
1.81,80.93,13.69,52.38,89.96,1
3.74,77.55,28.63,26.71,109.76,1
1.58,62.94,23.39,75.78,107.63,1
9.28,57.15,28.24,32.25,137.02,1
8.83,56.32,29.45,28.02,133.69,1
2.95,74.8,19.94,63.61,109.34,1
6.77,64.64,14.69,47.91,112.47,1
8.26,89.44,13.87,24.19,118.24,1
5.77,91.23,14.46,44.89,115.25,1
5.53,41.94,24.17,74.02,123.22,1
2.8,39.54,10.81,63.07,80.37,1
1.38,74.13,11.03,45.4,77.18,1
9.02,51.09,22.16,33.43,124.51,1
9.05,31.3,22.84,64.23,133.2,1
6.51,92.2,23.31,82.13,151.97,1
3.72,45.88,17.44,65.24,99.45,1
3.82,95.05,26.12,76.9,138.57,1
7.4,80.22,20.67,56.51,135.75,1
9.02,83.39,12.11,70.26,140.77,1
8.93,44.1,25.94,82.74,151.5,1
7.91,46.39,29.06,74.12,146.67,1
6.6,66.49,11.2,83.69,124.84,1
1.3,42.05,17.83,50.18,76.46,1
2.04,51.38,19.75,83.3,104.07,1
9.04,52.5,12.93,63.51,126.39,1
6.26,41.17,27.35,80.9,135.5,1
0.59,44.36,15.68,22.76,56.18,1
1.46,85.2,25.66,66.05,114.36,1
6.8,41.7,23.42,79.36,132.29,1
0.55,31.99,21.96,32.19,65.13,1
2.03,74.05,13.84,66.33,95.72,1
5.71,98.32,14.41,77.75,134.08,1
7.07,53.18,10.95,40.16,100.2,1
6.69,38.31,14.81,48.37,101.86,1
2.63,69.93,16.91,59.87,99.05,1
7.27,93.44,26.66,56.34,149.16,1
2.75,84.88,17.33,22.74,87.82,1
3.59,73.58,25.09,26.91,102.06,1
7.59,52.05,18.79,27.03,108.06,1
6.67,67.93,25.7,38.36,124.92,1
8.57,36.39,29.53,37.21,128.88,1
6.75,77.53,14.8,71.96,129.69,1
5.9,80.76,27.25,60.09,138.62,1
1.39,97.55,22.44,73.48,117.76,1
3.99,48.23,26.35,24.89,95.2,1
3.02,31.29,23.03,53.96,92.16,1
2.82,68.19,18.48,42.66,93.25,1
9.74,79.48,14.56,79.5,151.82,1
4.23,85.33,11.4,69.55,111.39,1
8.97,43.56,20.71,80.85,142.73,1
6.5,48.32,29.81,23.25,114.67,1
8.05,65.88,24.76,70.46,147.02,1
5.28,53.14,16.55,57.8,106.66,1
5.98,90.24,26.54,77.75,150.66,1
5.18,63.16,25.38,55.5,122.16,1
2.35,85.97,15.63,57.81,100.84,1
7.36,70.64,10.29,23.62,99.66,1
3.17,84.12,12.36,66.8,104.61,1
0.73,53.29,27.55,39.12,86.58,1
6.63,88.2,26.73,21.38,125.84,1
2.18,49.22,15.9,24.65,68.94,1
9.43,68.23,15.7,87.01,150.93,1
9.56,44.98,25.86,44.23,136.26,1
9.19,63.29,28.75,80.77,163.97,1
4.02,52.27,25.58,87.18,126.99,1
0.65,48.67,22.11,86.03,99.55,1
9.32,97.69,14.85,81.72,158.13,1
4.57,41.21,20.51,82.64,115.99,1
9.68,85.11,14.67,40.23,134.24,1
9.65,98.89,26.16,30.6,152.0,1
8.6,31.39,17.74,64.75,123.14,1
3.3,78.93,26.67,54.17,118.46,1
4.16,47.7,17.63,26.91,83.94,1
8.59,32.83,26.48,67.43,138.11,1
3.51,58.2,16.67,59.4,99.04,1
2.11,95.47,18.8,80.41,119.25,1
5.79,30.82,22.31,62.64,111.85,1
9.39,71.15,11.41,60.18,132.01,1
7.11,65.1,28.96,50.85,137.56,1
5.92,91.14,21.47,52.4,130.38,1
1.42,35.88,20.16,86.81,96.52,1
6.34,77.71,26.79,29.69,124.15,1
9.91,77.61,27.32,51.24,157.1,1
1.83,76.84,20.45,65.91,105.35,1
5.42,95.96,28.55,50.31,138.88,1
8.84,87.62,11.29,39.83,124.94,1
7.54,32.94,12.26,40.12,96.87,1
7.12,62.98,21.94,36.36,119.0,1
7.17,57.86,17.08,44.07,113.82,1
3.92,51.71,19.28,81.02,113.63,1
3.29,61.59,16.56,55.37,96.9,1
8.19,56.89,18.09,36.82,117.44,1
8.2,60.26,26.45,46.92,136.44,1
8.74,98.55,21.87,27.41,138.37,1
9.18,36.2,29.95,83.28,156.12,1
5.36,94.56,25.74,48.57,132.88,1
5.26,63.62,15.47,88.63,124.53,1
8.08,73.66,15.29,44.33,123.04,1
6.67,88.11,16.72,78.54,139.61,1
7.17,55.23,26.87,37.95,124.39,1
8.06,60.13,10.55,25.33,100.9,1
8.96,58.67,14.6,22.22,110.24,1
3.71,56.23,28.1,62.43,118.12,1
4.07,94.79,22.8,41.81,117.44,1
1.39,88.03,14.54,51.05,90.89,1
5.99,37.63,14.38,77.31,111.22,1
0.84,37.57,27.25,37.37,79.63,1
4.92,59.95,27.88,41.61,116.12,1
5.66,36.91,15.12,79.17,110.99,1
3.22,73.34,18.41,54.49,103.52,1
6.11,40.06,26.69,77.94,131.69,1
0.79,66.57,25.42,46.21,92.6,1
0.85,30.51,26.28,47.89,80.67,1
8.31,52.16,20.37,31.7,117.13,1
3.92,77.4,28.23,84.14,138.9,1
1.71,63.88,16.52,82.77,101.98,1
5.46,98.48,13.13,88.9,136.3,1
7.81,91.19,24.17,48.17,143.68,1
2.55,55.13,20.79,77.3,107.19,1
6.42,33.18,27.09,49.05,116.95,1
1.31,89.19,11.62,51.8,86.87,1
0.99,93.79,26.87,78.1,122.81,1
5.55,87.44,15.87,32.42,108.29,1
5.64,38.96,23.1,35.42,101.78,1
6.56,99.85,10.8,42.03,116.52,1
7.4,48.1,22.19,75.17,134.51,1
9.77,80.69,24.35,46.09,150.47,1
5.4,93.56,17.38,45.07,118.43,1
3.57,46.5,14.31,89.92,106.44,1
8.05,93.58,20.75,46.87,140.29,1
3.07,51.66,26.66,37.34,97.74,1
4.67,98.35,16.47,63.62,123.88,1
1.25,49.69,15.05,76.13,88.02,1
0.74,96.74,15.58,24.87,78.94,1
9.65,33.75,28.98,63.32,146.53,1
8.44,79.65,17.19,22.5,119.54,1
7.11,67.25,10.07,56.84,113.08,1
4.39,63.45,25.63,37.99,109.16,1
2.15,45.64,23.99,41.46,87.87,1
1.99,79.39,12.57,52.7,88.9,1
2.88,43.36,29.7,84.9,121.62,1
5.72,68.7,22.16,69.75,129.92,1
7.29,47.73,20.02,85.58,135.65,1
6.77,96.89,17.64,66.2,138.94,1
3.16,32.0,27.97,20.5,83.96,1
9.57,43.98,14.88,38.59,116.63,1
7.51,46.96,15.72,83.4,129.12,1
5.77,58.98,12.45,65.04,109.41,1
6.31,46.29,25.18,88.72,138.51,1
4.49,64.39,21.91,30.92,101.02,1
2.85,91.07,22.18,40.77,107.18,1
3.88,79.84,14.37,45.37,99.46,1
7.7,70.6,23.02,42.86,130.4,1
0.64,36.23,25.31,37.64,75.12,1
1.6,78.58,17.16,51.04,92.29,1
0.94,41.65,26.03,64.96,93.82,1
0.89,85.05,16.98,41.79,85.72,1
8.63,47.5,25.16,25.58,121.31,1
7.18,59.19,10.67,69.6,117.56,1
5.0,54.53,21.02,52.13,109.41,1
1.43,90.12,29.39,58.95,118.19,1
5.17,38.86,29.62,51.88,116.93,1
5.0,69.6,15.64,82.33,122.46,1
2.15,39.94,18.83,59.11,86.68,1
4.62,79.34,11.26,84.63,118.66,1
4.29,93.36,27.47,55.74,132.16,1
6.35,60.42,21.37,40.48,114.56,1
6.53,64.17,17.7,44.88,113.84,1
0.93,94.92,12.26,56.55,90.21,1
4.06,66.47,28.94,57.1,122.91,1
6.45,64.13,20.6,68.11,129.31,1
5.28,70.48,15.66,35.71,101.22,1
8.64,78.25,17.0,66.12,141.7,1
6.76,37.48,15.41,74.5,115.92,1
2.05,87.48,22.04,67.36,114.03,1
1.17,60.49,28.6,53.73,100.98,1
6.6,35.06,27.13,89.42,139.03,1
0.75,85.03,19.21,48.34,91.5,1
6.06,56.39,26.53,27.46,112.44,1
9.43,37.03,18.46,77.51,137.84,1
5.97,74.36,15.05,34.85,105.56,1
4.19,91.61,29.67,69.93,141.25,1
6.61,92.14,16.08,32.53,116.9,1
4.85,97.04,16.47,21.18,103.21,1
5.68,90.74,29.79,31.19,130.66,1
9.44,30.15,12.68,46.39,110.92,1
4.17,56.62,25.21,27.46,99.21,1
9.63,87.3,28.72,33.84,152.7,1
9.1,55.64,20.24,73.52,143.98,1
2.36,72.11,10.05,73.89,95.02,1
1.16,72.44,17.5,77.22,100.8,1
1.46,55.55,12.23,78.88,88.76,1
0.67,93.31,18.32,49.43,93.54,1
1.4,65.23,25.8,80.73,113.56,1
6.99,62.53,18.77,56.82,123.52,1
1.18,99.83,18.64,52.94,101.44,1
3.53,64.55,21.14,70.3,113.86,1
8.53,42.49,21.63,34.97,118.11,1
0.72,65.91,27.13,75.26,109.01,1
8.24,86.98,16.17,50.06,133.52,1
3.18,84.38,26.43,28.91,106.93,1
1.62,85.2,21.32,28.35,89.96,1
7.12,79.56,16.01,31.54,114.33,1
6.47,47.8,15.9,82.34,122.96,1
8.84,90.35,17.22,89.37,159.7,1
7.48,92.54,22.45,44.99,138.07,1
8.13,43.59,14.62,40.45,108.37,1
3.18,39.13,28.41,35.31,95.0,1
2.19,98.29,21.5,77.67,123.54,1
7.63,90.78,28.4,34.64,142.01,1
8.16,92.53,10.93,84.69,144.71,1
9.91,92.05,16.85,66.71,154.91,1
4.42,67.92,10.46,82.8,110.78,1
4.03,75.25,15.45,58.78,106.84,1
7.88,68.18,27.24,68.35,149.59,1
3.74,33.58,10.73,63.36,83.65,1
9.34,82.19,18.72,78.18,156.09,1
8.65,65.37,12.35,78.51,135.83,1
4.58,75.34,18.34,61.29,115.77,1
7.63,65.18,26.78,64.28,144.16,1
7.67,64.43,22.46,84.53,147.75,1
1.48,42.03,24.74,85.09,105.35,1
9.07,49.51,16.98,66.5,132.94,1
5.3,41.12,28.89,20.54,101.85,1
8.35,43.7,24.19,27.31,117.52,1
3.54,98.11,18.44,80.06,128.17,1
9.01,40.72,18.53,25.93,111.11,1
4.2,48.85,28.37,34.95,104.77,1
0.6,71.34,21.53,36.14,82.5,1
9.1,72.71,24.13,62.02,150.89,1
1.37,40.78,18.34,60.36,82.22,1
3.53,85.56,14.47,40.26,97.24,1
9.53,84.96,24.47,34.53,145.13,1
9.53,46.61,22.16,73.52,145.82,1
5.95,50.21,20.03,85.48,128.57,1
6.5,95.66,22.48,23.7,122.83,1
4.76,87.8,14.17,29.32,99.59,1
3.29,78.85,25.88,64.95,122.57,1
3.62,35.76,28.96,76.31,117.62,1
6.89,59.28,27.82,75.38,144.47,1
7.65,69.15,16.43,70.38,133.39,1
8.02,43.12,18.12,82.12,133.61,1
8.0,61.38,26.17,35.21,129.41,1
1.37,72.07,21.9,27.51,83.65,1
5.2,52.92,20.96,63.08,115.35,1
1.05,84.67,28.53,77.56,121.74,1
5.72,88.83,20.72,60.74,131.3,1
4.69,52.65,20.3,87.41,123.36,1
8.93,88.71,10.84,75.69,143.17,1
3.83,37.25,11.39,69.06,89.5,1
1.61,88.64,10.15,24.22,72.45,1
1.86,40.69,28.26,27.54,83.6,1
7.73,35.8,18.17,74.94,125.43,1
6.37,74.92,19.37,33.88,114.18,1
1.46,63.04,26.91,22.02,85.35,1
1.3,93.55,22.18,83.75,120.36,1
7.16,55.42,22.19,82.36,139.59,1
1.19,50.1,15.93,35.29,68.72,1
8.31,65.05,26.68,74.61,153.2,1
7.21,61.92,13.32,23.36,99.69,1
1.27,54.11,11.06,39.95,65.83,1
1.31,78.56,13.83,63.66,91.86,1
9.87,83.17,15.35,73.42,152.22,1
4.06,89.71,15.65,20.73,94.08,1
4.02,98.1,23.41,42.83,119.89,1
8.22,48.67,14.36,35.0,107.83,1
9.5,80.13,23.53,89.91,169.3,1
9.87,57.6,11.82,66.97,133.48,1
7.66,77.4,12.94,48.4,120.53,1
4.07,63.32,20.18,25.3,92.67,1
1.29,99.56,28.44,61.91,121.18,1
7.88,81.02,27.19,64.92,152.93,1
5.8,96.67,29.38,77.15,156.11,1
4.53,88.45,23.01,40.2,117.18,1
9.11,93.2,23.52,88.7,171.57,1
1.56,87.01,22.5,50.76,103.29,1
5.18,62.14,22.46,40.72,109.99,1
0.61,47.63,12.94,44.39,64.32,1
4.95,55.92,20.87,56.37,111.56,1
1.03,31.42,17.72,85.57,88.11,1
1.63,66.68,18.85,71.46,100.46,1
1.62,65.35,20.47,60.4,96.76,1
6.67,66.77,12.57,31.4,101.28,1
7.59,98.18,17.19,30.45,125.82,1
6.04,93.8,11.27,55.15,118.24,1
9.64,41.32,29.59,71.01,154.26,1
4.06,55.82,12.37,72.57,101.53,1
3.21,59.68,15.17,35.81,83.79,1
8.75,55.24,27.83,27.01,129.85,1
2.62,85.89,19.65,46.91,103.01,1
9.65,66.68,12.71,84.27,145.77,1
0.62,70.05,17.68,58.18,87.35,1
9.71,89.71,12.32,42.41,133.83,1
0.91,86.41,14.0,42.65,82.35,1
8.97,39.25,11.04,29.25,100.71,1
5.51,79.97,18.76,53.13,119.75,1
9.93,60.48,26.13,75.4,160.67,1
1.2,50.63,21.72,87.8,103.93,1
5.76,33.5,22.13,55.11,108.71,1
9.71,64.11,14.01,31.71,120.77,1
5.47,54.88,16.88,67.81,114.0,1
6.48,47.61,26.9,72.98,134.76,1
7.11,78.63,11.76,25.02,104.26,1
4.82,83.86,27.16,79.51,142.96,1
6.46,47.14,19.67,78.05,126.15,1
6.05,33.46,26.74,53.08,116.33,1
9.06,89.41,16.36,59.23,144.28,1
0.93,30.7,16.78,69.94,78.0,1
3.17,95.6,25.03,67.37,128.49,1
9.53,73.93,25.7,21.16,135.88,1
8.96,52.53,14.59,28.57,110.94,1
4.83,47.25,29.46,31.38,107.76,1
6.39,30.63,11.69,72.9,104.58,1
3.14,46.48,11.37,50.81,79.89,1
2.29,39.64,21.91,58.19,91.56,1
4.91,72.85,24.45,74.09,132.32,1
3.86,41.66,29.22,43.87,105.59,1
6.04,67.0,18.1,72.42,126.4,1
1.24,71.31,10.51,50.96,77.21,1
9.76,50.86,22.06,46.4,135.19,1
9.87,32.45,15.79,43.31,117.54,1
7.13,32.61,18.66,87.55,127.59,1
5.59,31.84,19.77,74.04,112.95,1
3.44,81.74,11.29,21.41,80.98,1
8.23,52.26,19.72,87.02,143.37,1
7.0,85.74,18.53,74.28,141.23,1
2.04,60.22,24.25,30.44,87.92,1
9.15,61.71,22.91,25.34,126.62,1
8.31,65.9,13.7,41.57,117.56,1
9.52,79.91,14.12,63.69,142.11,1
7.39,49.15,15.02,63.16,118.11,1
6.33,38.51,13.58,39.31,93.41,1
4.47,68.92,23.14,51.2,114.7,1
9.36,52.89,29.89,34.83,139.57,1
8.73,60.97,23.04,23.54,123.1,1
0.93,75.29,22.13,56.19,96.99,1
0.75,64.59,18.2,44.29,79.78,1
4.08,73.42,16.25,58.0,107.22,1
8.2,68.09,28.22,86.26,161.9,1
9.88,81.79,29.38,30.04,151.09,1
1.93,79.42,19.94,20.14,83.33,1
6.14,67.39,15.8,25.38,100.19,1
4.12,77.52,25.4,52.39,120.02,1
9.71,91.15,12.65,69.49,148.44,1
8.5,60.26,25.31,60.65,143.39,1
8.46,58.89,26.38,54.64,141.21,1
4.95,83.5,12.5,44.78,104.24,1
4.44,70.78,29.54,41.7,120.11,1
3.1,34.97,29.71,46.34,100.32,1
1.04,92.45,28.73,62.81,117.72,1
8.71,32.15,19.92,31.74,110.87,1
8.22,82.39,14.92,74.0,141.66,1
10.0,83.12,21.64,60.27,155.84,1
9.97,96.72,18.4,38.84,145.53,1
5.78,33.79,14.12,55.08,96.92,1
7.81,71.78,18.47,87.39,146.97,1
9.48,59.95,23.28,21.43,126.5,1
8.57,53.14,11.42,33.97,106.79,1
2.85,36.32,16.67,51.39,82.33,1
4.78,69.39,10.36,64.69,104.32,1
1.73,63.53,24.99,34.86,90.71,1
9.56,37.32,22.81,85.2,149.1,1
6.26,72.87,11.25,64.98,116.07,1
2.67,81.66,29.29,81.42,133.33,1
6.88,83.71,10.45,43.05,111.96,1
6.37,93.38,21.8,78.03,147.29,1
3.9,58.66,25.53,46.48,108.4,1
1.58,96.72,25.76,37.69,105.65,1
6.88,90.58,10.69,83.82,135.46,1
5.44,50.76,28.13,26.46,108.37,1
7.84,41.15,28.37,86.0,149.06,1
5.44,60.48,21.23,52.1,114.73,1
8.6,58.13,19.64,89.48,149.05,1
5.74,70.3,10.9,57.77,107.8,1
5.83,70.84,21.24,73.02,131.69,1
8.83,82.5,18.19,20.49,123.51,1
4.33,65.69,25.46,54.77,117.83,1
1.77,37.34,18.08,71.62,88.49,1
0.77,90.08,23.67,74.8,113.56,1
7.67,51.68,12.03,31.06,100.27,1
6.39,97.99,12.66,49.33,121.19,1
7.19,38.25,12.79,49.34,102.3,1
2.52,97.08,10.91,27.25,83.94,1
1.8,36.37,20.83,51.01,82.1,1
0.64,46.17,25.88,76.5,99.38,1
3.83,33.26,22.21,41.01,90.1,1
6.1,79.36,21.5,50.28,125.73,1
4.23,89.52,23.61,87.27,140.24,1
4.66,60.38,16.79,22.22,88.41,1
9.09,95.0,17.24,61.41,149.1,1
3.81,71.32,16.29,72.04,111.84,1
5.38,74.1,24.24,73.26,134.91,1
7.94,89.18,13.23,70.12,138.22,1
4.27,50.78,10.26,70.85,96.75,1
6.41,54.8,21.92,24.13,105.32,1
8.69,93.42,28.85,57.39,161.48,1
9.52,93.07,22.19,74.81,165.04,1
1.9,98.35,25.66,26.58,102.52,1
9.3,93.13,23.46,20.84,138.66,1
5.18,38.92,19.95,77.02,115.08,1
2.95,87.66,24.37,69.86,124.25,1
4.86,58.69,26.48,48.85,116.78,1
9.81,99.36,14.49,85.83,163.25,1
5.18,63.06,16.72,73.66,118.21,1
3.62,68.77,14.47,87.75,114.81,1
6.52,67.08,19.04,85.05,137.04,1
2.78,52.52,27.7,53.69,106.08,1
1.22,35.25,16.9,72.83,83.18,1
1.72,92.7,17.49,66.84,107.06,1
1.72,86.19,27.21,76.8,124.01,1
1.94,39.77,20.31,75.14,95.58,1
1.82,84.37,20.71,30.73,91.1,1
6.59,73.81,27.22,36.36,128.07,1
2.23,58.64,19.81,38.6,85.85,1
3.78,47.78,23.63,77.29,115.88,1
9.02,90.18,11.71,76.75,146.13,1
5.0,79.01,13.57,54.67,109.29,1
6.84,68.34,18.09,60.66,125.84,1
2.14,72.67,19.9,77.88,110.7,1
2.33,36.37,29.31,41.88,93.43,1
0.89,63.17,29.41,23.51,86.48,1
2.1,43.56,27.02,53.78,97.44,1
3.15,44.59,16.31,83.96,103.18,1
2.18,76.29,29.28,75.33,125.18,1
1.34,93.79,23.79,45.66,104.07,1
1.65,58.26,17.86,24.53,72.26,1
4.88,44.54,24.03,64.58,115.43,1
2.46,75.41,10.33,78.41,99.62,1
3.96,90.98,12.92,66.55,112.81,1
5.28,82.38,26.59,49.76,129.4,1
7.06,90.81,22.91,28.63,127.36,1
0.87,67.56,17.28,83.75,100.04,1
8.09,82.63,20.01,39.32,131.27,1
6.47,39.8,28.1,35.7,114.74,1
1.28,54.38,22.63,77.12,101.94,1
8.8,57.27,17.96,88.69,146.99,1
9.25,65.79,12.41,66.21,133.54,1
1.08,95.04,15.87,63.74,100.17,1
3.13,91.2,29.57,42.36,120.8,1
8.16,39.42,18.75,21.43,103.57,1
7.61,42.1,19.44,33.43,108.38,1
2.25,55.03,19.97,60.91,95.92,1
2.49,50.35,27.68,30.59,91.9,1
4.02,73.03,22.08,81.87,127.39,1
5.1,93.19,23.87,33.17,120.27,1
6.37,97.36,17.79,56.55,132.12,1
4.0,75.75,10.58,55.84,98.09,1
4.89,88.67,28.62,62.28,138.88,1
7.6,66.76,28.98,42.92,137.23,1
0.85,44.58,28.98,81.15,106.98,1
2.9,66.73,28.87,51.1,112.95,1
7.28,68.86,26.3,69.01,145.18,1
9.0,81.97,23.69,64.51,154.58,1
5.36,45.39,26.89,28.2,104.75,1
